[ARRAY_PRIORITY | BEST CASE | ENQUEUE] 0.600693 seconds
[ARRAY_PRIORITY | BEST CASE | DEQUEUE] 0.014712 seconds
[ARRAY_PRIORITY | AVERAGE CASE | ENQUEUE] 0.965886 seconds
[ARRAY_PRIORITY | AVERAGE CASE | DEQUEUE] 0.016730 seconds
[ARRAY_PRIORITY | WORST CASE | ENQUEUE] 41.914322 seconds
[ARRAY_PRIORITY | WORST CASE | DEQUEUE] 0.016985 seconds
[ARRAY_PRIORITY | BEST CASE | ENQUEUE] 0.646491 seconds
[ARRAY_PRIORITY | BEST CASE | DEQUEUE] 0.015342 seconds
[ARRAY_PRIORITY | AVERAGE CASE | ENQUEUE] 0.957310 seconds
[ARRAY_PRIORITY | AVERAGE CASE | DEQUEUE] 0.015445 seconds
[ARRAY_PRIORITY | WORST CASE | ENQUEUE] 41.668018 seconds
[ARRAY_PRIORITY | WORST CASE | DEQUEUE] 0.018664 seconds
[ARRAY_PRIORITY | BEST CASE | ENQUEUE] 0.619725 seconds
[ARRAY_PRIORITY | BEST CASE | DEQUEUE] 0.015958 seconds
[ARRAY_PRIORITY | AVERAGE CASE | ENQUEUE] 0.945524 seconds
[ARRAY_PRIORITY | AVERAGE CASE | DEQUEUE] 0.015534 seconds
[ARRAY_PRIORITY | WORST CASE | ENQUEUE] 41.495346 seconds
[ARRAY_PRIORITY | WORST CASE | DEQUEUE] 0.016090 seconds
[ARRAY_PRIORITY | BEST CASE | ENQUEUE] 0.607542 seconds
[ARRAY_PRIORITY | BEST CASE | DEQUEUE] 0.014688 seconds
[ARRAY_PRIORITY | AVERAGE CASE | ENQUEUE] 0.922385 seconds
[ARRAY_PRIORITY | AVERAGE CASE | DEQUEUE] 0.016780 seconds
[ARRAY_PRIORITY | WORST CASE | ENQUEUE] 41.858322 seconds
[ARRAY_PRIORITY | WORST CASE | DEQUEUE] 0.017469 seconds
[ARRAY_PRIORITY | BEST CASE | ENQUEUE] 0.605673 seconds
[ARRAY_PRIORITY | BEST CASE | DEQUEUE] 0.015133 seconds
[ARRAY_PRIORITY | AVERAGE CASE | ENQUEUE] 0.953486 seconds
[ARRAY_PRIORITY | AVERAGE CASE | DEQUEUE] 0.015700 seconds
[ARRAY_PRIORITY | WORST CASE | ENQUEUE] 41.444836 seconds
[ARRAY_PRIORITY | WORST CASE | DEQUEUE] 0.017236 seconds
[ARRAY_PRIORITY | BEST CASE | ENQUEUE] 0.585814 seconds
[ARRAY_PRIORITY | BEST CASE | DEQUEUE] 0.014806 seconds
[ARRAY_PRIORITY | AVERAGE CASE | ENQUEUE] 0.942943 seconds
