[DOUBLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.014330 seconds
[DOUBLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.012728 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 15.571384 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.013361 seconds
[DOUBLY_LINKED_LIST | WORST CASE | ENQUEUE] 33.604816 seconds
[DOUBLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.013705 seconds
[DOUBLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.014172 seconds
[DOUBLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.012744 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 15.671872 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.013665 seconds
[DOUBLY_LINKED_LIST | WORST CASE | ENQUEUE] 33.479668 seconds
[DOUBLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.013079 seconds
[DOUBLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.013605 seconds
[DOUBLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.012133 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 15.771415 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.015057 seconds
[DOUBLY_LINKED_LIST | WORST CASE | ENQUEUE] 32.070259 seconds
[DOUBLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.014083 seconds
[DOUBLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.013857 seconds
[DOUBLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.011527 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 15.524404 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.014715 seconds
[DOUBLY_LINKED_LIST | WORST CASE | ENQUEUE] 33.259888 seconds
[DOUBLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.013839 seconds
[DOUBLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.014160 seconds
[DOUBLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.012448 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 15.558403 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.013338 seconds
[DOUBLY_LINKED_LIST | WORST CASE | ENQUEUE] 33.232983 seconds
[DOUBLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.013673 seconds
[DOUBLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.014699 seconds
[DOUBLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.012672 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 14.884549 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.015553 seconds
[DOUBLY_LINKED_LIST | WORST CASE | ENQUEUE] 31.786716 seconds
[DOUBLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.014406 seconds
[DOUBLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.014004 seconds
[DOUBLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.011934 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 15.621311 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.013371 seconds
[DOUBLY_LINKED_LIST | WORST CASE | ENQUEUE] 33.294102 seconds
[DOUBLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.013993 seconds
[DOUBLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.016545 seconds
[DOUBLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.013048 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 15.599345 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.013274 seconds
[DOUBLY_LINKED_LIST | WORST CASE | ENQUEUE] 33.170494 seconds
[DOUBLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.014701 seconds
[DOUBLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.022866 seconds
[DOUBLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.015288 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 15.573905 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.014131 seconds
[DOUBLY_LINKED_LIST | WORST CASE | ENQUEUE] 33.437408 seconds
[DOUBLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.018289 seconds
[DOUBLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.014227 seconds
[DOUBLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.012573 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 15.644719 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.013544 seconds
[DOUBLY_LINKED_LIST | WORST CASE | ENQUEUE] 32.474442 seconds
[DOUBLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.014636 seconds
[DOUBLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.014275 seconds
[DOUBLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.011655 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 14.878911 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.015321 seconds
