[DOUBLY_LINKED_LIST_AVG | BEST CASE | ENQUEUE] 0.007842 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | DEQUEUE] 0.005446 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | ENQUEUE] 1.391244 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | DEQUEUE] 0.006497 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | ENQUEUE] 6.487330 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | DEQUEUE] 0.006697 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | ENQUEUE] 0.006360 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | DEQUEUE] 0.005472 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | ENQUEUE] 1.387813 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | DEQUEUE] 0.005718 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | ENQUEUE] 6.706991 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | DEQUEUE] 0.005825 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | ENQUEUE] 0.006340 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | DEQUEUE] 0.005482 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | ENQUEUE] 1.452581 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | DEQUEUE] 0.006220 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | ENQUEUE] 6.641372 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | DEQUEUE] 0.006145 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | ENQUEUE] 0.006288 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | DEQUEUE] 0.005542 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | ENQUEUE] 1.420888 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | DEQUEUE] 0.006519 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | ENQUEUE] 6.618358 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | DEQUEUE] 0.006348 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | ENQUEUE] 0.005937 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | DEQUEUE] 0.005239 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | ENQUEUE] 1.366193 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | DEQUEUE] 0.005896 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | ENQUEUE] 6.505455 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | DEQUEUE] 0.005993 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | ENQUEUE] 0.006412 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | DEQUEUE] 0.005546 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | ENQUEUE] 1.364214 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | DEQUEUE] 0.006325 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | ENQUEUE] 6.384271 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | DEQUEUE] 0.006417 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | ENQUEUE] 0.006187 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | DEQUEUE] 0.005303 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | ENQUEUE] 1.351603 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | DEQUEUE] 0.006129 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | ENQUEUE] 6.438069 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | DEQUEUE] 0.006397 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | ENQUEUE] 0.006424 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | DEQUEUE] 0.005670 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | ENQUEUE] 1.378675 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | DEQUEUE] 0.006045 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | ENQUEUE] 6.502601 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | DEQUEUE] 0.006121 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | ENQUEUE] 0.006240 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | DEQUEUE] 0.005529 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | ENQUEUE] 1.416954 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | DEQUEUE] 0.006627 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | ENQUEUE] 6.437685 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | DEQUEUE] 0.006536 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | ENQUEUE] 0.006232 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | DEQUEUE] 0.005802 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | ENQUEUE] 1.446033 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | DEQUEUE] 0.006075 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | ENQUEUE] 6.478970 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | DEQUEUE] 0.006318 seconds
