[SINGLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.015235 seconds
[SINGLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.014581 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 17.664963 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.014960 seconds
[SINGLY_LINKED_LIST | WORST CASE | ENQUEUE] 38.467453 seconds
[SINGLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.014147 seconds
[SINGLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.014718 seconds
[SINGLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.012936 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 17.556857 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.014502 seconds
[SINGLY_LINKED_LIST | WORST CASE | ENQUEUE] 38.187191 seconds
[SINGLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.016647 seconds
[SINGLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.014819 seconds
[SINGLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.014551 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 17.669038 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.015247 seconds
[SINGLY_LINKED_LIST | WORST CASE | ENQUEUE] 38.531616 seconds
[SINGLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.014467 seconds
[SINGLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.014782 seconds
[SINGLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.012901 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 17.939803 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.014740 seconds
[SINGLY_LINKED_LIST | WORST CASE | ENQUEUE] 38.073841 seconds
[SINGLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.013828 seconds
[SINGLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.015757 seconds
[SINGLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.014120 seconds
