[ARRAY_PRIORITY | BEST CASE | ENQUEUE] 0.143336 seconds
[ARRAY_PRIORITY | BEST CASE | DEQUEUE] 0.007042 seconds
[ARRAY_PRIORITY | AVERAGE CASE | ENQUEUE] 0.190452 seconds
[ARRAY_PRIORITY | AVERAGE CASE | DEQUEUE] 0.007359 seconds
[ARRAY_PRIORITY | WORST CASE | ENQUEUE] 9.621823 seconds
[ARRAY_PRIORITY | WORST CASE | DEQUEUE] 0.008173 seconds
[ARRAY_PRIORITY | BEST CASE | ENQUEUE] 0.145191 seconds
[ARRAY_PRIORITY | BEST CASE | DEQUEUE] 0.007784 seconds
[ARRAY_PRIORITY | AVERAGE CASE | ENQUEUE] 0.205696 seconds
[ARRAY_PRIORITY | AVERAGE CASE | DEQUEUE] 0.007501 seconds
[ARRAY_PRIORITY | WORST CASE | ENQUEUE] 9.598360 seconds
[ARRAY_PRIORITY | WORST CASE | DEQUEUE] 0.009095 seconds
[ARRAY_PRIORITY | BEST CASE | ENQUEUE] 0.143699 seconds
[ARRAY_PRIORITY | BEST CASE | DEQUEUE] 0.007501 seconds
[ARRAY_PRIORITY | AVERAGE CASE | ENQUEUE] 0.191229 seconds
[ARRAY_PRIORITY | AVERAGE CASE | DEQUEUE] 0.007381 seconds
[ARRAY_PRIORITY | WORST CASE | ENQUEUE] 9.597191 seconds
[ARRAY_PRIORITY | WORST CASE | DEQUEUE] 0.009185 seconds
[ARRAY_PRIORITY | BEST CASE | ENQUEUE] 0.147500 seconds
[ARRAY_PRIORITY | BEST CASE | DEQUEUE] 0.007676 seconds
[ARRAY_PRIORITY | AVERAGE CASE | ENQUEUE] 0.202561 seconds
[ARRAY_PRIORITY | AVERAGE CASE | DEQUEUE] 0.007700 seconds
[ARRAY_PRIORITY | WORST CASE | ENQUEUE] 9.673715 seconds
[ARRAY_PRIORITY | WORST CASE | DEQUEUE] 0.008750 seconds
[ARRAY_PRIORITY | BEST CASE | ENQUEUE] 0.143525 seconds
[ARRAY_PRIORITY | BEST CASE | DEQUEUE] 0.007015 seconds
[ARRAY_PRIORITY | AVERAGE CASE | ENQUEUE] 0.192980 seconds
[ARRAY_PRIORITY | AVERAGE CASE | DEQUEUE] 0.007805 seconds
[ARRAY_PRIORITY | WORST CASE | ENQUEUE] 9.601764 seconds
[ARRAY_PRIORITY | WORST CASE | DEQUEUE] 0.008464 seconds
[ARRAY_PRIORITY | BEST CASE | ENQUEUE] 0.142851 seconds
[ARRAY_PRIORITY | BEST CASE | DEQUEUE] 0.007384 seconds
[ARRAY_PRIORITY | AVERAGE CASE | ENQUEUE] 0.197654 seconds
[ARRAY_PRIORITY | AVERAGE CASE | DEQUEUE] 0.007851 seconds
[ARRAY_PRIORITY | WORST CASE | ENQUEUE] 9.444222 seconds
[ARRAY_PRIORITY | WORST CASE | DEQUEUE] 0.009101 seconds
[ARRAY_PRIORITY | BEST CASE | ENQUEUE] 0.143514 seconds
[ARRAY_PRIORITY | BEST CASE | DEQUEUE] 0.007296 seconds
[ARRAY_PRIORITY | AVERAGE CASE | ENQUEUE] 0.192285 seconds
[ARRAY_PRIORITY | AVERAGE CASE | DEQUEUE] 0.007457 seconds
[ARRAY_PRIORITY | WORST CASE | ENQUEUE] 9.335917 seconds
[ARRAY_PRIORITY | WORST CASE | DEQUEUE] 0.007780 seconds
[ARRAY_PRIORITY | BEST CASE | ENQUEUE] 0.146334 seconds
[ARRAY_PRIORITY | BEST CASE | DEQUEUE] 0.007025 seconds
[ARRAY_PRIORITY | AVERAGE CASE | ENQUEUE] 0.189594 seconds
[ARRAY_PRIORITY | AVERAGE CASE | DEQUEUE] 0.007152 seconds
[ARRAY_PRIORITY | WORST CASE | ENQUEUE] 9.566373 seconds
[ARRAY_PRIORITY | WORST CASE | DEQUEUE] 0.008480 seconds
[ARRAY_PRIORITY | BEST CASE | ENQUEUE] 0.147816 seconds
[ARRAY_PRIORITY | BEST CASE | DEQUEUE] 0.007764 seconds
[ARRAY_PRIORITY | AVERAGE CASE | ENQUEUE] 0.191451 seconds
[ARRAY_PRIORITY | AVERAGE CASE | DEQUEUE] 0.007591 seconds
[ARRAY_PRIORITY | WORST CASE | ENQUEUE] 9.515285 seconds
[ARRAY_PRIORITY | WORST CASE | DEQUEUE] 0.008095 seconds
[ARRAY_PRIORITY | BEST CASE | ENQUEUE] 0.140972 seconds
[ARRAY_PRIORITY | BEST CASE | DEQUEUE] 0.007442 seconds
[ARRAY_PRIORITY | AVERAGE CASE | ENQUEUE] 0.197947 seconds
[ARRAY_PRIORITY | AVERAGE CASE | DEQUEUE] 0.007915 seconds
[ARRAY_PRIORITY | WORST CASE | ENQUEUE] 9.516276 seconds
[ARRAY_PRIORITY | WORST CASE | DEQUEUE] 0.008507 seconds
[ARRAY_PRIORITY | BEST CASE | ENQUEUE] 0.148925 seconds
[ARRAY_PRIORITY | BEST CASE | DEQUEUE] 0.007600 seconds
[ARRAY_PRIORITY | AVERAGE CASE | ENQUEUE] 0.203040 seconds
[ARRAY_PRIORITY | AVERAGE CASE | DEQUEUE] 0.007929 seconds
[ARRAY_PRIORITY | WORST CASE | ENQUEUE] 9.530532 seconds
[ARRAY_PRIORITY | WORST CASE | DEQUEUE] 0.008507 seconds
[ARRAY_PRIORITY | BEST CASE | ENQUEUE] 0.142332 seconds
[ARRAY_PRIORITY | BEST CASE | DEQUEUE] 0.007341 seconds
[ARRAY_PRIORITY | AVERAGE CASE | ENQUEUE] 0.189567 seconds
[ARRAY_PRIORITY | AVERAGE CASE | DEQUEUE] 0.007472 seconds
[ARRAY_PRIORITY | WORST CASE | ENQUEUE] 9.515344 seconds
[ARRAY_PRIORITY | WORST CASE | DEQUEUE] 0.008373 seconds
[ARRAY_PRIORITY | BEST CASE | ENQUEUE] 0.142594 seconds
[ARRAY_PRIORITY | BEST CASE | DEQUEUE] 0.007015 seconds
[ARRAY_PRIORITY | AVERAGE CASE | ENQUEUE] 0.189941 seconds
[ARRAY_PRIORITY | AVERAGE CASE | DEQUEUE] 0.007347 seconds
[ARRAY_PRIORITY | WORST CASE | ENQUEUE] 9.415674 seconds
[ARRAY_PRIORITY | WORST CASE | DEQUEUE] 0.008280 seconds
[ARRAY_PRIORITY | BEST CASE | ENQUEUE] 0.142811 seconds
[ARRAY_PRIORITY | BEST CASE | DEQUEUE] 0.007243 seconds
[ARRAY_PRIORITY | AVERAGE CASE | ENQUEUE] 0.205896 seconds
[ARRAY_PRIORITY | AVERAGE CASE | DEQUEUE] 0.007864 seconds
[ARRAY_PRIORITY | WORST CASE | ENQUEUE] 9.682761 seconds
[ARRAY_PRIORITY | WORST CASE | DEQUEUE] 0.008272 seconds
[ARRAY_PRIORITY | BEST CASE | ENQUEUE] 0.145129 seconds
[ARRAY_PRIORITY | BEST CASE | DEQUEUE] 0.007336 seconds
[ARRAY_PRIORITY | AVERAGE CASE | ENQUEUE] 0.196741 seconds
[ARRAY_PRIORITY | AVERAGE CASE | DEQUEUE] 0.007418 seconds
[ARRAY_PRIORITY | WORST CASE | ENQUEUE] 9.532777 seconds
[ARRAY_PRIORITY | WORST CASE | DEQUEUE] 0.008603 seconds
[ARRAY_PRIORITY | BEST CASE | ENQUEUE] 0.140419 seconds
[ARRAY_PRIORITY | BEST CASE | DEQUEUE] 0.006950 seconds
[ARRAY_PRIORITY | AVERAGE CASE | ENQUEUE] 0.192802 seconds
[ARRAY_PRIORITY | AVERAGE CASE | DEQUEUE] 0.007396 seconds
[ARRAY_PRIORITY | WORST CASE | ENQUEUE] 9.482580 seconds
[ARRAY_PRIORITY | WORST CASE | DEQUEUE] 0.008381 seconds
[ARRAY_PRIORITY | BEST CASE | ENQUEUE] 0.144511 seconds
[ARRAY_PRIORITY | BEST CASE | DEQUEUE] 0.007331 seconds
[ARRAY_PRIORITY | AVERAGE CASE | ENQUEUE] 0.192077 seconds
[ARRAY_PRIORITY | AVERAGE CASE | DEQUEUE] 0.007473 seconds
[ARRAY_PRIORITY | WORST CASE | ENQUEUE] 9.829076 seconds
[ARRAY_PRIORITY | WORST CASE | DEQUEUE] 0.008586 seconds
[ARRAY_PRIORITY | BEST CASE | ENQUEUE] 0.143934 seconds
[ARRAY_PRIORITY | BEST CASE | DEQUEUE] 0.007095 seconds
[ARRAY_PRIORITY | AVERAGE CASE | ENQUEUE] 0.198344 seconds
[ARRAY_PRIORITY | AVERAGE CASE | DEQUEUE] 0.007877 seconds
[ARRAY_PRIORITY | WORST CASE | ENQUEUE] 9.709677 seconds
[ARRAY_PRIORITY | WORST CASE | DEQUEUE] 0.008251 seconds
[ARRAY_PRIORITY | BEST CASE | ENQUEUE] 0.159962 seconds
[ARRAY_PRIORITY | BEST CASE | DEQUEUE] 0.008109 seconds
[ARRAY_PRIORITY | AVERAGE CASE | ENQUEUE] 0.212588 seconds
[ARRAY_PRIORITY | AVERAGE CASE | DEQUEUE] 0.007740 seconds
[ARRAY_PRIORITY | WORST CASE | ENQUEUE] 9.655933 seconds
[ARRAY_PRIORITY | WORST CASE | DEQUEUE] 0.008281 seconds
[ARRAY_PRIORITY | BEST CASE | ENQUEUE] 0.147508 seconds
[ARRAY_PRIORITY | BEST CASE | DEQUEUE] 0.007207 seconds
[ARRAY_PRIORITY | AVERAGE CASE | ENQUEUE] 0.202162 seconds
[ARRAY_PRIORITY | AVERAGE CASE | DEQUEUE] 0.007956 seconds
[ARRAY_PRIORITY | WORST CASE | ENQUEUE] 9.542923 seconds
[ARRAY_PRIORITY | WORST CASE | DEQUEUE] 0.007960 seconds
[ARRAY_PRIORITY | BEST CASE | ENQUEUE] 0.159965 seconds
[ARRAY_PRIORITY | BEST CASE | DEQUEUE] 0.008003 seconds
[ARRAY_PRIORITY | AVERAGE CASE | ENQUEUE] 0.206696 seconds
[ARRAY_PRIORITY | AVERAGE CASE | DEQUEUE] 0.009767 seconds
[ARRAY_PRIORITY | WORST CASE | ENQUEUE] 9.471364 seconds
[ARRAY_PRIORITY | WORST CASE | DEQUEUE] 0.008585 seconds
[ARRAY_PRIORITY | BEST CASE | ENQUEUE] 0.143259 seconds
[ARRAY_PRIORITY | BEST CASE | DEQUEUE] 0.007337 seconds
[ARRAY_PRIORITY | AVERAGE CASE | ENQUEUE] 0.199131 seconds
[ARRAY_PRIORITY | AVERAGE CASE | DEQUEUE] 0.007557 seconds
[ARRAY_PRIORITY | WORST CASE | ENQUEUE] 9.706152 seconds
[ARRAY_PRIORITY | WORST CASE | DEQUEUE] 0.008531 seconds
[ARRAY_PRIORITY | BEST CASE | ENQUEUE] 0.144967 seconds
[ARRAY_PRIORITY | BEST CASE | DEQUEUE] 0.007587 seconds
[ARRAY_PRIORITY | AVERAGE CASE | ENQUEUE] 0.191266 seconds
[ARRAY_PRIORITY | AVERAGE CASE | DEQUEUE] 0.007146 seconds
[ARRAY_PRIORITY | WORST CASE | ENQUEUE] 9.528882 seconds
[ARRAY_PRIORITY | WORST CASE | DEQUEUE] 0.008173 seconds
[ARRAY_PRIORITY | BEST CASE | ENQUEUE] 0.144542 seconds
[ARRAY_PRIORITY | BEST CASE | DEQUEUE] 0.007087 seconds
[ARRAY_PRIORITY | AVERAGE CASE | ENQUEUE] 0.191714 seconds
[ARRAY_PRIORITY | AVERAGE CASE | DEQUEUE] 0.007103 seconds
[ARRAY_PRIORITY | WORST CASE | ENQUEUE] 9.428393 seconds
[ARRAY_PRIORITY | WORST CASE | DEQUEUE] 0.007833 seconds
[ARRAY_PRIORITY | BEST CASE | ENQUEUE] 0.142004 seconds
[ARRAY_PRIORITY | BEST CASE | DEQUEUE] 0.007344 seconds
[ARRAY_PRIORITY | AVERAGE CASE | ENQUEUE] 0.205375 seconds
[ARRAY_PRIORITY | AVERAGE CASE | DEQUEUE] 0.008190 seconds
[ARRAY_PRIORITY | WORST CASE | ENQUEUE] 9.677615 seconds
[ARRAY_PRIORITY | WORST CASE | DEQUEUE] 0.008437 seconds
[ARRAY_PRIORITY | BEST CASE | ENQUEUE] 0.147223 seconds
[ARRAY_PRIORITY | BEST CASE | DEQUEUE] 0.007541 seconds
[ARRAY_PRIORITY | AVERAGE CASE | ENQUEUE] 0.196560 seconds
[ARRAY_PRIORITY | AVERAGE CASE | DEQUEUE] 0.007783 seconds
[ARRAY_PRIORITY | WORST CASE | ENQUEUE] 9.407736 seconds
[ARRAY_PRIORITY | WORST CASE | DEQUEUE] 0.008613 seconds
[ARRAY_PRIORITY | BEST CASE | ENQUEUE] 0.142251 seconds
[ARRAY_PRIORITY | BEST CASE | DEQUEUE] 0.007516 seconds
[ARRAY_PRIORITY | AVERAGE CASE | ENQUEUE] 0.193862 seconds
[ARRAY_PRIORITY | AVERAGE CASE | DEQUEUE] 0.007607 seconds
[ARRAY_PRIORITY | WORST CASE | ENQUEUE] 9.515463 seconds
[ARRAY_PRIORITY | WORST CASE | DEQUEUE] 0.007971 seconds
[ARRAY_PRIORITY | BEST CASE | ENQUEUE] 0.145352 seconds
[ARRAY_PRIORITY | BEST CASE | DEQUEUE] 0.008790 seconds
[ARRAY_PRIORITY | AVERAGE CASE | ENQUEUE] 0.210043 seconds
[ARRAY_PRIORITY | AVERAGE CASE | DEQUEUE] 0.010559 seconds
[ARRAY_PRIORITY | WORST CASE | ENQUEUE] 9.642730 seconds
[ARRAY_PRIORITY | WORST CASE | DEQUEUE] 0.009678 seconds
[ARRAY_PRIORITY | BEST CASE | ENQUEUE] 0.142989 seconds
[ARRAY_PRIORITY | BEST CASE | DEQUEUE] 0.007496 seconds
[ARRAY_PRIORITY | AVERAGE CASE | ENQUEUE] 0.204100 seconds
[ARRAY_PRIORITY | AVERAGE CASE | DEQUEUE] 0.008632 seconds
[ARRAY_PRIORITY | WORST CASE | ENQUEUE] 9.409276 seconds
[ARRAY_PRIORITY | WORST CASE | DEQUEUE] 0.008418 seconds
[ARRAY_PRIORITY | BEST CASE | ENQUEUE] 0.143929 seconds
[ARRAY_PRIORITY | BEST CASE | DEQUEUE] 0.007109 seconds
[ARRAY_PRIORITY | AVERAGE CASE | ENQUEUE] 0.195306 seconds
[ARRAY_PRIORITY | AVERAGE CASE | DEQUEUE] 0.007617 seconds
[ARRAY_PRIORITY | WORST CASE | ENQUEUE] 9.433662 seconds
[ARRAY_PRIORITY | WORST CASE | DEQUEUE] 0.008362 seconds
[ARRAY_PRIORITY | BEST CASE | ENQUEUE] 0.140577 seconds
[ARRAY_PRIORITY | BEST CASE | DEQUEUE] 0.007230 seconds
[ARRAY_PRIORITY | AVERAGE CASE | ENQUEUE] 0.196861 seconds
[ARRAY_PRIORITY | AVERAGE CASE | DEQUEUE] 0.007763 seconds
[ARRAY_PRIORITY | WORST CASE | ENQUEUE] 9.493725 seconds
[ARRAY_PRIORITY | WORST CASE | DEQUEUE] 0.008539 seconds
[ARRAY_PRIORITY | BEST CASE | ENQUEUE] 0.142459 seconds
[ARRAY_PRIORITY | BEST CASE | DEQUEUE] 0.007306 seconds
[ARRAY_PRIORITY | AVERAGE CASE | ENQUEUE] 0.192396 seconds
[ARRAY_PRIORITY | AVERAGE CASE | DEQUEUE] 0.008207 seconds
[ARRAY_PRIORITY | WORST CASE | ENQUEUE] 9.620961 seconds
[ARRAY_PRIORITY | WORST CASE | DEQUEUE] 0.008644 seconds
[ARRAY_PRIORITY | BEST CASE | ENQUEUE] 0.146682 seconds
[ARRAY_PRIORITY | BEST CASE | DEQUEUE] 0.007620 seconds
[ARRAY_PRIORITY | AVERAGE CASE | ENQUEUE] 0.192959 seconds
[ARRAY_PRIORITY | AVERAGE CASE | DEQUEUE] 0.008033 seconds
[ARRAY_PRIORITY | WORST CASE | ENQUEUE] 9.408782 seconds
[ARRAY_PRIORITY | WORST CASE | DEQUEUE] 0.008448 seconds
[ARRAY_PRIORITY | BEST CASE | ENQUEUE] 0.148819 seconds
[ARRAY_PRIORITY | BEST CASE | DEQUEUE] 0.011550 seconds
[ARRAY_PRIORITY | AVERAGE CASE | ENQUEUE] 0.191050 seconds
[ARRAY_PRIORITY | AVERAGE CASE | DEQUEUE] 0.007335 seconds
[ARRAY_PRIORITY | WORST CASE | ENQUEUE] 9.414240 seconds
[ARRAY_PRIORITY | WORST CASE | DEQUEUE] 0.008718 seconds
[ARRAY_PRIORITY | BEST CASE | ENQUEUE] 0.147099 seconds
[ARRAY_PRIORITY | BEST CASE | DEQUEUE] 0.007499 seconds
[ARRAY_PRIORITY | AVERAGE CASE | ENQUEUE] 0.192593 seconds
[ARRAY_PRIORITY | AVERAGE CASE | DEQUEUE] 0.007703 seconds
[ARRAY_PRIORITY | WORST CASE | ENQUEUE] 9.487494 seconds
[ARRAY_PRIORITY | WORST CASE | DEQUEUE] 0.008901 seconds
[ARRAY_PRIORITY | BEST CASE | ENQUEUE] 0.139819 seconds
[ARRAY_PRIORITY | BEST CASE | DEQUEUE] 0.007496 seconds
[ARRAY_PRIORITY | AVERAGE CASE | ENQUEUE] 0.190114 seconds
[ARRAY_PRIORITY | AVERAGE CASE | DEQUEUE] 0.007883 seconds
[ARRAY_PRIORITY | WORST CASE | ENQUEUE] 9.606907 seconds
[ARRAY_PRIORITY | WORST CASE | DEQUEUE] 0.008615 seconds
[ARRAY_PRIORITY | BEST CASE | ENQUEUE] 0.140656 seconds
[ARRAY_PRIORITY | BEST CASE | DEQUEUE] 0.007811 seconds
[ARRAY_PRIORITY | AVERAGE CASE | ENQUEUE] 0.199993 seconds
[ARRAY_PRIORITY | AVERAGE CASE | DEQUEUE] 0.008075 seconds
[ARRAY_PRIORITY | WORST CASE | ENQUEUE] 9.574319 seconds
[ARRAY_PRIORITY | WORST CASE | DEQUEUE] 0.009675 seconds
[ARRAY_PRIORITY | BEST CASE | ENQUEUE] 0.140644 seconds
[ARRAY_PRIORITY | BEST CASE | DEQUEUE] 0.007379 seconds
[ARRAY_PRIORITY | AVERAGE CASE | ENQUEUE] 0.192182 seconds
[ARRAY_PRIORITY | AVERAGE CASE | DEQUEUE] 0.010800 seconds
[ARRAY_PRIORITY | WORST CASE | ENQUEUE] 9.316584 seconds
[ARRAY_PRIORITY | WORST CASE | DEQUEUE] 0.008863 seconds
[ARRAY_PRIORITY | BEST CASE | ENQUEUE] 0.138888 seconds
[ARRAY_PRIORITY | BEST CASE | DEQUEUE] 0.007660 seconds
[ARRAY_PRIORITY | AVERAGE CASE | ENQUEUE] 0.192398 seconds
[ARRAY_PRIORITY | AVERAGE CASE | DEQUEUE] 0.007762 seconds
[ARRAY_PRIORITY | WORST CASE | ENQUEUE] 9.376709 seconds
[ARRAY_PRIORITY | WORST CASE | DEQUEUE] 0.008829 seconds
[ARRAY_PRIORITY | BEST CASE | ENQUEUE] 0.145480 seconds
[ARRAY_PRIORITY | BEST CASE | DEQUEUE] 0.007386 seconds
[ARRAY_PRIORITY | AVERAGE CASE | ENQUEUE] 0.192223 seconds
[ARRAY_PRIORITY | AVERAGE CASE | DEQUEUE] 0.007676 seconds
[ARRAY_PRIORITY | WORST CASE | ENQUEUE] 9.324868 seconds
[ARRAY_PRIORITY | WORST CASE | DEQUEUE] 0.008730 seconds
[ARRAY_PRIORITY | BEST CASE | ENQUEUE] 0.147100 seconds
[ARRAY_PRIORITY | BEST CASE | DEQUEUE] 0.007465 seconds
[ARRAY_PRIORITY | AVERAGE CASE | ENQUEUE] 0.194517 seconds
[ARRAY_PRIORITY | AVERAGE CASE | DEQUEUE] 0.007466 seconds
[ARRAY_PRIORITY | WORST CASE | ENQUEUE] 9.395542 seconds
[ARRAY_PRIORITY | WORST CASE | DEQUEUE] 0.009195 seconds
[ARRAY_PRIORITY | BEST CASE | ENQUEUE] 0.143508 seconds
[ARRAY_PRIORITY | BEST CASE | DEQUEUE] 0.007409 seconds
[ARRAY_PRIORITY | AVERAGE CASE | ENQUEUE] 0.189136 seconds
[ARRAY_PRIORITY | AVERAGE CASE | DEQUEUE] 0.008104 seconds
[ARRAY_PRIORITY | WORST CASE | ENQUEUE] 9.549497 seconds
[ARRAY_PRIORITY | WORST CASE | DEQUEUE] 0.008314 seconds
[ARRAY_PRIORITY | BEST CASE | ENQUEUE] 0.143426 seconds
[ARRAY_PRIORITY | BEST CASE | DEQUEUE] 0.007751 seconds
[ARRAY_PRIORITY | AVERAGE CASE | ENQUEUE] 0.207036 seconds
[ARRAY_PRIORITY | AVERAGE CASE | DEQUEUE] 0.007907 seconds
[ARRAY_PRIORITY | WORST CASE | ENQUEUE] 9.341799 seconds
[ARRAY_PRIORITY | WORST CASE | DEQUEUE] 0.009558 seconds
[ARRAY_PRIORITY | BEST CASE | ENQUEUE] 0.142143 seconds
[ARRAY_PRIORITY | BEST CASE | DEQUEUE] 0.007323 seconds
[ARRAY_PRIORITY | AVERAGE CASE | ENQUEUE] 0.200506 seconds
[ARRAY_PRIORITY | AVERAGE CASE | DEQUEUE] 0.007917 seconds
[ARRAY_PRIORITY | WORST CASE | ENQUEUE] 9.475142 seconds
[ARRAY_PRIORITY | WORST CASE | DEQUEUE] 0.008813 seconds
[ARRAY_PRIORITY | BEST CASE | ENQUEUE] 0.209434 seconds
[ARRAY_PRIORITY | BEST CASE | DEQUEUE] 0.007866 seconds
[ARRAY_PRIORITY | AVERAGE CASE | ENQUEUE] 0.201984 seconds
