[DOUBLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.002545 seconds
[DOUBLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.002158 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 0.250031 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.002472 seconds
[DOUBLY_LINKED_LIST | WORST CASE | ENQUEUE] 0.782234 seconds
[DOUBLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.002285 seconds
[DOUBLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.002888 seconds
[DOUBLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.001908 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 0.278796 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.002401 seconds
[DOUBLY_LINKED_LIST | WORST CASE | ENQUEUE] 0.817036 seconds
[DOUBLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.002386 seconds
[DOUBLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.002568 seconds
[DOUBLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.002149 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 0.257388 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.002233 seconds
[DOUBLY_LINKED_LIST | WORST CASE | ENQUEUE] 0.770967 seconds
[DOUBLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.002243 seconds
[DOUBLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.002572 seconds
[DOUBLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.002117 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 0.268603 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.002273 seconds
[DOUBLY_LINKED_LIST | WORST CASE | ENQUEUE] 0.777390 seconds
[DOUBLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.002225 seconds
[DOUBLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.002638 seconds
[DOUBLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.002287 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 0.262818 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.002303 seconds
[DOUBLY_LINKED_LIST | WORST CASE | ENQUEUE] 0.796569 seconds
[DOUBLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.002777 seconds
[DOUBLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.002795 seconds
[DOUBLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.002225 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 0.268499 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.002349 seconds
[DOUBLY_LINKED_LIST | WORST CASE | ENQUEUE] 0.779876 seconds
[DOUBLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.002335 seconds
[DOUBLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.002594 seconds
[DOUBLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.002260 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 0.273737 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.002365 seconds
[DOUBLY_LINKED_LIST | WORST CASE | ENQUEUE] 0.775810 seconds
[DOUBLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.002267 seconds
[DOUBLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.002719 seconds
[DOUBLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.002212 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 0.267001 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.002314 seconds
[DOUBLY_LINKED_LIST | WORST CASE | ENQUEUE] 0.763496 seconds
[DOUBLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.002302 seconds
[DOUBLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.002429 seconds
[DOUBLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.002087 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 0.280302 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.002154 seconds
[DOUBLY_LINKED_LIST | WORST CASE | ENQUEUE] 0.801724 seconds
[DOUBLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.002209 seconds
[DOUBLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.002543 seconds
[DOUBLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.002192 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 0.270592 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.002337 seconds
[DOUBLY_LINKED_LIST | WORST CASE | ENQUEUE] 0.780182 seconds
[DOUBLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.002146 seconds
[DOUBLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.002450 seconds
[DOUBLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.001987 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 0.245444 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.002182 seconds
[DOUBLY_LINKED_LIST | WORST CASE | ENQUEUE] 0.777844 seconds
[DOUBLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.002449 seconds
[DOUBLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.002620 seconds
[DOUBLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.002175 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 0.261772 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.002374 seconds
[DOUBLY_LINKED_LIST | WORST CASE | ENQUEUE] 0.779479 seconds
[DOUBLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.002318 seconds
[DOUBLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.002759 seconds
[DOUBLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.002286 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 0.265864 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.002217 seconds
[DOUBLY_LINKED_LIST | WORST CASE | ENQUEUE] 0.776124 seconds
[DOUBLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.002047 seconds
[DOUBLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.002827 seconds
[DOUBLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.002307 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 0.265245 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.002299 seconds
[DOUBLY_LINKED_LIST | WORST CASE | ENQUEUE] 0.792672 seconds
[DOUBLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.002488 seconds
[DOUBLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.002716 seconds
[DOUBLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.002358 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 0.254493 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.002200 seconds
[DOUBLY_LINKED_LIST | WORST CASE | ENQUEUE] 0.770435 seconds
[DOUBLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.002294 seconds
[DOUBLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.002548 seconds
[DOUBLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.002075 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 0.262105 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.002114 seconds
[DOUBLY_LINKED_LIST | WORST CASE | ENQUEUE] 0.782221 seconds
[DOUBLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.002387 seconds
[DOUBLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.002508 seconds
[DOUBLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.002197 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 0.271534 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.002381 seconds
[DOUBLY_LINKED_LIST | WORST CASE | ENQUEUE] 0.784580 seconds
[DOUBLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.002198 seconds
[DOUBLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.002566 seconds
[DOUBLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.002167 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 0.256559 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.002459 seconds
[DOUBLY_LINKED_LIST | WORST CASE | ENQUEUE] 0.817464 seconds
[DOUBLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.002328 seconds
[DOUBLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.002765 seconds
[DOUBLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.002427 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 0.265100 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.002430 seconds
[DOUBLY_LINKED_LIST | WORST CASE | ENQUEUE] 0.760168 seconds
[DOUBLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.002168 seconds
[DOUBLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.002710 seconds
[DOUBLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.002239 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 0.250993 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.002334 seconds
[DOUBLY_LINKED_LIST | WORST CASE | ENQUEUE] 0.794624 seconds
[DOUBLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.003028 seconds
[DOUBLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.002634 seconds
[DOUBLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.002255 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 0.279551 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.002632 seconds
[DOUBLY_LINKED_LIST | WORST CASE | ENQUEUE] 0.831222 seconds
[DOUBLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.002470 seconds
[DOUBLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.002533 seconds
[DOUBLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.002098 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 0.273404 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.002235 seconds
[DOUBLY_LINKED_LIST | WORST CASE | ENQUEUE] 0.826484 seconds
[DOUBLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.002391 seconds
[DOUBLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.002703 seconds
[DOUBLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.002142 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 0.263352 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.002214 seconds
