[DOUBLY_LINKED_LIST_AVG | BEST CASE | ENQUEUE] 0.014046 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | DEQUEUE] 0.011720 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | ENQUEUE] 6.457312 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | DEQUEUE] 0.012715 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | ENQUEUE] 27.664959 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | DEQUEUE] 0.012950 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | ENQUEUE] 0.012470 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | DEQUEUE] 0.011484 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | ENQUEUE] 6.622503 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | DEQUEUE] 0.013183 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | ENQUEUE] 27.690310 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | DEQUEUE] 0.012621 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | ENQUEUE] 0.012344 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | DEQUEUE] 0.011168 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | ENQUEUE] 6.431658 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | DEQUEUE] 0.013540 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | ENQUEUE] 27.518545 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | DEQUEUE] 0.016589 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | ENQUEUE] 0.012326 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | DEQUEUE] 0.012842 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | ENQUEUE] 6.496676 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | DEQUEUE] 0.014028 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | ENQUEUE] 27.532274 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | DEQUEUE] 0.013596 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | ENQUEUE] 0.013121 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | DEQUEUE] 0.011072 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | ENQUEUE] 6.489898 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | DEQUEUE] 0.013862 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | ENQUEUE] 27.494274 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | DEQUEUE] 0.017382 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | ENQUEUE] 0.013738 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | DEQUEUE] 0.011862 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | ENQUEUE] 6.448488 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | DEQUEUE] 0.013643 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | ENQUEUE] 27.370419 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | DEQUEUE] 0.013108 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | ENQUEUE] 0.012842 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | DEQUEUE] 0.010830 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | ENQUEUE] 6.360408 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | DEQUEUE] 0.013187 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | ENQUEUE] 27.467451 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | DEQUEUE] 0.016197 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | ENQUEUE] 0.013121 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | DEQUEUE] 0.011631 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | ENQUEUE] 6.360617 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | DEQUEUE] 0.012995 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | ENQUEUE] 27.733444 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | DEQUEUE] 0.013957 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | ENQUEUE] 0.013669 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | DEQUEUE] 0.010968 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | ENQUEUE] 6.463112 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | DEQUEUE] 0.013199 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | ENQUEUE] 27.569601 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | DEQUEUE] 0.013527 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | ENQUEUE] 0.012679 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | DEQUEUE] 0.011103 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | ENQUEUE] 6.482390 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | DEQUEUE] 0.012517 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | ENQUEUE] 27.521677 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | DEQUEUE] 0.014336 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | ENQUEUE] 0.013878 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | DEQUEUE] 0.011824 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | ENQUEUE] 6.514348 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | DEQUEUE] 0.013722 seconds
