[SINGLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.006178 seconds
[SINGLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.005201 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 2.371431 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.005999 seconds
[SINGLY_LINKED_LIST | WORST CASE | ENQUEUE] 5.902382 seconds
[SINGLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.006391 seconds
[SINGLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.006427 seconds
[SINGLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.005622 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 2.373977 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.006243 seconds
[SINGLY_LINKED_LIST | WORST CASE | ENQUEUE] 5.886105 seconds
[SINGLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.005915 seconds
[SINGLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.006481 seconds
[SINGLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.006100 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 2.363416 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.005990 seconds
[SINGLY_LINKED_LIST | WORST CASE | ENQUEUE] 5.908126 seconds
[SINGLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.006148 seconds
[SINGLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.006903 seconds
[SINGLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.006639 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 2.380926 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.005910 seconds
[SINGLY_LINKED_LIST | WORST CASE | ENQUEUE] 5.840541 seconds
[SINGLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.006072 seconds
[SINGLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.006553 seconds
[SINGLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.006553 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 2.339596 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.005959 seconds
[SINGLY_LINKED_LIST | WORST CASE | ENQUEUE] 5.803818 seconds
[SINGLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.006345 seconds
[SINGLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.006337 seconds
[SINGLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.005685 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 2.372829 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.006022 seconds
[SINGLY_LINKED_LIST | WORST CASE | ENQUEUE] 5.902113 seconds
[SINGLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.006230 seconds
[SINGLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.006719 seconds
[SINGLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.005596 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 2.360238 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.005946 seconds
[SINGLY_LINKED_LIST | WORST CASE | ENQUEUE] 5.843646 seconds
[SINGLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.006506 seconds
[SINGLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.006399 seconds
